"filename", "language", "JSON", "Markdown", "JavaScript", "Batch", "HTML", "Vue", "XML", "YAML", "SCSS", "comment", "blank", "total"
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/cascader.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/chart.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/checkbox.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/clipboard.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/code.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/color.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/component.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/dashboard.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/date-range.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/date.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/dict.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/documentation.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/download.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/drag.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/druid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
